event_id,investigation_type,accident_number,event_date,location,country,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,is_destroyed
20001213X25555,Accident,NYC88LA122,1988-04-10,"MYERSTOWN, PA",United States,,PRIVATE STRIP,Non-Fatal,Destroyed,,Cessna,172,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,True
20001213X25511,Accident,MIA88FA142,1988-04-10,"VERO BEACH, FL",United States,X52,NEW HIBISCUS,Non-Fatal,Destroyed,,Cessna,172n,No,1.0,reciprocating,personal,0.0,2.0,0.0,0.0,vmc,landing,True
20001213X25372,Accident,ATL88DKG06,1988-04-10,"CHAMBLEE, GA",United States,,,Non-Fatal,Destroyed,,Christen Industries,eagle ii,Yes,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,cruise,True
20001213X25572,Accident,SEA88LA071,1988-04-10,"WALLA WALLA, WA",United States,,,Non-Fatal,Substantial,,Cessna,172xp,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,descent,False
20001213X25465,Accident,FTW88DRA07,1988-04-11,"LISSIE, TX",United States,,,Non-Fatal,Destroyed,,Grumman,g-164b,No,1.0,reciprocating,positioning,0.0,0.0,0.0,1.0,vmc,takeoff,True
20001213X25429,Incident,CHI88IA097,1988-04-11,"BLOOMINGTON, IL",United States,BMI,BLOOMINGTON/NORMAL,Incident,,,Fairchild,sa-226-tc,No,2.0,turbo prop,unknown,0.0,0.0,1.0,4.0,vmc,cruise,False
20001213X25382,Incident,ATL88IA139,1988-04-11,"ATLANTA, GA",United States,ATL,WILLIAM B. HARTSFIELD,Incident,Minor,,Boeing,727-225a,No,3.0,turbo fan,unknown,0.0,0.0,0.0,83.0,vmc,standing,False
20001213X25377,Accident,ATL88FA138,1988-04-11,"BOWLING GREEN, KY",United States,,,Fatal(1),Destroyed,,Piper,pa-28-180,No,1.0,reciprocating,personal,1.0,0.0,0.0,0.0,vmc,descent,True
20001213X25556,Accident,NYC88LA123,1988-04-11,"HOPEDALE, MA",United States,1B6,HOPEDALE-DRAPER,Non-Fatal,Substantial,,Cessna,185,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
20001213X25498,Accident,LAX88LA158,1988-04-11,"TEMECULA, CA",United States,2LO,RANCHO CALIFORNIA,Non-Fatal,Substantial,,Cessna,152,No,1.0,reciprocating,personal,0.0,1.0,0.0,0.0,vmc,go-around,False
20001213X25497,Accident,LAX88LA157,1988-04-11,"BULLHEAD CITY, AZ",United States,P06,BULLHEAD LAUGHLIN,Non-Fatal,Substantial,,Aero Commander,560,No,2.0,reciprocating,business,0.0,0.0,1.0,0.0,vmc,takeoff,False
20001213X25476,Accident,FTW88LA089,1988-04-11,"HOUSTON, TX",United States,IAH,INTERNATIONAL,Non-Fatal,Substantial,,Cessna,172k,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,taxi,False
20001213X25575,Accident,SEA88LA076,1988-04-12,"LAKE MEAD, NV",United States,,,Non-Fatal,Destroyed,,Cessna,172m,No,1.0,reciprocating,personal,0.0,0.0,1.0,0.0,vmc,maneuvering,True
20001213X25574,Accident,SEA88LA073,1988-04-12,"SITKA, AK",United States,,,Non-Fatal,Substantial,,Hughes,269c,No,1.0,reciprocating,other work use,0.0,0.0,0.0,1.0,vmc,climb,False
20001213X25395,Accident,ATL88LA140,1988-04-12,"CENTER VILLAGE, OH",United States,01I,AUGUST ACRES,Non-Fatal,Substantial,,Cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,False
20001213X25571,Incident,SEA88IA074,1988-04-13,"PORTLAND, OR",United States,PDX,PORTLAND INTNL,Incident,Minor,,Boeing,727-290,No,3.0,turbo fan,unknown,0.0,0.0,0.0,98.0,vmc,taxi,False
20001213X25471,Incident,FTW88IA090,1988-04-13,"WICHITA FALLS, TX",United States,SPS,SHEPPARD AFB/WICHITAFALLS,Incident,Minor,,Embraer,emb-110p1,No,2.0,turbo prop,unknown,0.0,0.0,0.0,10.0,vmc,takeoff,False
20001213X25576,Accident,SEA88LA077,1988-04-13,"PULLMAN, WA",United States,PUW,PULLMAN/MOSCOW,Non-Fatal,Substantial,,Beech,k-35,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,approach,False
20001213X25541,Accident,MKC88LA076,1988-04-13,"CLARKSVILLE, AR",United States,H35,CLARKSVILLE,Non-Fatal,Substantial,,Cessna,182e,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
20001213X25512,Accident,MIA88FA144,1988-04-13,"FORT MYERS, FL",United States,,,Non-Fatal,Substantial,,Beech,a-23,No,1.0,reciprocating,personal,0.0,1.0,0.0,0.0,vmc,approach,False
20001213X25502,Accident,LAX88LA166,1988-04-13,"MAYER, AZ",United States,,PRIVATE STRIP,Non-Fatal,Substantial,,Champion,7ec,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,False
20001213X25500,Accident,LAX88LA160,1988-04-13,"TAFT, CA",United States,,,Non-Fatal,Substantial,,Bell,47d1,No,1.0,reciprocating,business,0.0,0.0,0.0,2.0,vmc,landing,False
20001213X25499,Accident,LAX88LA159,1988-04-13,"COARSEGOLD, CA",United States,,,Non-Fatal,Substantial,,Cessna,tu206g,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,cruise,False
20001213X25408,Accident,ATL88LA215,1988-04-13,"LAWRENCEVILLE, GA",United States,17A,GWINNETT COUNTY,Non-Fatal,Substantial,,Hughes,269c,No,1.0,reciprocating,instructional,0.0,0.0,1.0,1.0,vmc,takeoff,False
20001213X25396,Accident,ATL88LA141B,1988-04-13,"ATHENS, GA",United States,AHN,ATHENS/BEN EPPS,Non-Fatal,Substantial,,Cessna,r172k,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
20001213X25396,Accident,ATL88LA141A,1988-04-13,"ATHENS, GA",United States,AHN,ATHENS/BEN EPPS,Non-Fatal,Substantial,,Cessna,170a,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
20001213X25508,Accident,LAX88WA165,1988-04-14,"MULEGE, Mexico",Mexico,,,Fatal(1),Destroyed,,Piper,pa28,Yes,0.0,unknown,personal,1.0,1.0,0.0,0.0,unk,,True
20001213X25449,Accident,DEN88FA096,1988-04-14,"MILFORD, UT",United States,,,Fatal(1),Destroyed,,Piper,pa-28-161,No,1.0,reciprocating,personal,1.0,0.0,0.0,0.0,vmc,cruise,True
20001213X25441,Incident,DCA88WA050,1988-04-14,"SCHIPHOL-AMSTER, Netherlands",Netherlands,,,Incident,Minor,,Boeing,747,No,0.0,unknown,unknown,0.0,0.0,0.0,0.0,unk,,False
20001213X25397,Accident,ATL88LA143,1988-04-14,"PAINESVILLE, OH",United States,2G1,CONCORD,Non-Fatal,Destroyed,,Piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,True
20001213X25365,Incident,ANC88IA047,1988-04-14,"TAKSLESUK LAKE, AK",United States,,,Incident,Minor,,Cessna,207a,No,1.0,reciprocating,unknown,0.0,0.0,0.0,1.0,vmc,cruise,False
20001213X25519,Accident,MIA88LA147,1988-04-14,"HASTINGS, FL",United States,,,Non-Fatal,Substantial,,Air Tractor,at-301,No,1.0,reciprocating,aerial application,0.0,0.0,1.0,0.0,vmc,takeoff,False
20001213X25456,Accident,DEN88LA095,1988-04-14,"GARFIELD, CO",United States,,,Non-Fatal,Substantial,,Cessna,150m,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,climb,False
20001213X25378,Accident,ATL88FA142,1988-04-14,"ALPHARETTA, GA",United States,,,Non-Fatal,Substantial,,Balloon Works,ax-8b,No,,unknown,business,0.0,1.0,2.0,2.0,vmc,takeoff,False
20001213X25412,Accident,BFO88FA036,1988-04-14,"CHARLESTON, WV",United States,CRW,YEAGER,Non-Fatal,Substantial,,Fokker,f28 mk 4000,No,2.0,turbo fan,unknown,0.0,0.0,8.0,54.0,vmc,cruise,False
20001213X25513,Incident,MIA88IA150,1988-04-15,"JACKSONVILLE, FL",United States,CRG,CRAIG MUNICIPAL,Incident,Minor,,Beech,58,No,2.0,reciprocating,unknown,0.0,0.0,0.0,1.0,vmc,landing,False
20001213X25486,Accident,LAX88FA161,1988-04-15,"LOS BANOS, CA",United States,LSN,LOS BANOS MUNICIPAL,Fatal(4),Destroyed,,Cessna,172g,No,1.0,reciprocating,personal,4.0,0.0,0.0,0.0,vmc,go-around,True
20001213X25450,Accident,DEN88FA097,1988-04-15,"DEER LODGE, MT",United States,385,DEER LODGE CITY,Fatal(2),Destroyed,,Cessna,150,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,takeoff,True
20001213X25438,Accident,DCA88MA052,1988-04-15,"SEATTLE, WA",United States,SER,SEATTLE-TACOMA INTL,Non-Fatal,Destroyed,,De Havilland,dhc-8,No,2.0,turbo prop,unknown,0.0,4.0,27.0,9.0,vmc,climb,True
20001213X25383,Incident,ATL88IA144,1988-04-15,"YORK, SC",United States,36A,YORK,Incident,Minor,,Cessna,152,No,1.0,reciprocating,ferry,0.0,0.0,0.0,1.0,vmc,taxi,False
20001213X25577,Accident,SEA88LA079,1988-04-15,"THE DALLES, OR",United States,DLS,THE DALLES,Non-Fatal,Substantial,,Mooney,m20e,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,landing,False
20001213X25521,Accident,MIA88LA149,1988-04-15,"MONTICELLO, FL",United States,,,Non-Fatal,Substantial,,Piper,pa-32-300,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,cruise,False
20001213X25568,Accident,SEA88FA078,1988-04-16,"PORT ANGELES, WA",United States,CLM,FAIRCHILD,Fatal(3),Destroyed,,Piper,pa-32rt-300t,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,approach,True
20001213X25559,Accident,NYC88LA126,1988-04-16,"WINDHAM, CT",United States,5BO,WINDHAM,Non-Fatal,Destroyed,,Cessna,150,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,landing,True
20001213X25535,Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,,,Non-Fatal,,Airplane,Boeing,757-225,No,2.0,unknown,,0.0,1.0,0.0,192.0,unk,,False
